Orginal File Name:,DP-TOUJAMES1-2018_2_2_1447.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36,IP: undefined,Time:,2018_2_2_1447,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,01000110,1,16.343,NaN,NA,NA,
0,01000110,2,16.344,NaN,NA,NA,
1,01000110,3,16.344,NaN,NA,NA,
1,01000110,4,17.349,NaN,NA,NA,
1,01000110,5,17.551000000000002,NaN,NA,16821.bmp,A297.bmp,
1,01000110,6,18.056,NaN,NA,NA,
1,01000110,7,18.933,0.875,-1,2,
1,01000110,8,18.933,NaN,NA,NA,
1,00011011,2,21.955000000000002,NaN,NA,NA,
2,00011011,3,21.955000000000002,NaN,NA,NA,
2,00011011,4,22.959,NaN,NA,NA,
2,00011011,5,23.164,NaN,NA,02038.bmp,A105.bmp,
2,00011011,6,24.164,NaN,NA,NA,
2,00011011,7,24.72,0.554,1,1,
2,10101000,2,24.733,NaN,NA,NA,
3,10101000,3,24.733,NaN,NA,NA,
3,10101000,4,25.738,NaN,NA,NA,
3,10101000,5,25.94,NaN,NA,21660.bmp,A345.bmp,
3,10101000,6,26.942,NaN,NA,NA,
3,10101000,7,27.406,0.463,-1,1,
3,10001000,2,27.418,NaN,NA,NA,
4,10001000,3,27.419,NaN,NA,NA,
4,10001000,4,28.421,NaN,NA,NA,
4,10001000,5,28.624000000000002,NaN,NA,25982.bmp,A7.bmp,
4,10001000,6,29.627,NaN,NA,NA,
4,10001000,7,30.065,0.436,-1,1,
4,00111100,2,30.078,NaN,NA,NA,
5,00111100,3,30.078,NaN,NA,NA,
5,00111100,4,31.082,NaN,NA,NA,
5,00111100,5,31.285,NaN,NA,02411.bmp,A117.bmp,
5,00111100,6,32.286,NaN,NA,NA,
5,00111100,7,32.788000000000004,0.501,1,1,
5,01111001,2,33.489,NaN,NA,NA,
6,01111001,3,33.489,NaN,NA,NA,
6,01111001,4,34.494,NaN,NA,NA,
6,01111001,5,34.7,NaN,NA,13191.bmp,A25.bmp,
6,01111001,6,35.701,NaN,NA,NA,
6,01111001,7,36.184,0.482,1,1,
6,01111101,2,36.198,NaN,NA,NA,
7,01111101,3,36.198,NaN,NA,NA,
7,01111101,4,37.198,NaN,NA,NA,
7,01111101,5,37.399,NaN,NA,19405.bmp,A323.bmp,
7,01111101,6,38.401,NaN,NA,NA,
7,01111101,7,38.907000000000004,0.505,1,1,
7,00000000,2,38.92,NaN,NA,NA,
8,00000000,3,38.92,NaN,NA,NA,
8,00000000,4,39.925000000000004,NaN,NA,NA,
8,00000000,5,40.13,NaN,NA,02397.bmp,A115.bmp,
8,00000000,6,40.634,NaN,NA,NA,
8,00000000,7,41.136,0.5,-1,1,
8,10111100,2,41.149,NaN,NA,NA,
9,10111100,3,41.149,NaN,NA,NA,
9,10111100,4,42.154,NaN,NA,NA,
9,10111100,5,42.36,NaN,NA,21450.bmp,A335.bmp,
9,10111100,6,43.36,NaN,NA,NA,
9,10111100,7,43.935,0.5740000000000001,1,1,
9,00000100,2,43.948,NaN,NA,NA,
10,00000100,3,43.948,NaN,NA,NA,
10,00000100,4,44.953,NaN,NA,NA,
10,00000100,5,45.156,NaN,NA,07003.bmp,A161.bmp,
10,00000100,6,45.660000000000004,NaN,NA,NA,
10,00000100,7,46.09,0.429,-1,1,
